,id,County,"April 1, 2010Census",Percent Change1980 to 1990,Percent Change1990 to 2000,Percent Change2000 to 2010
0,0,Illinois,12830632,4,86,33
1,1,Adams,67103,77,33,17
2,2,Alexander,8238,134,97,141
3,3,Bond,17768,76,176,8
4,4,Boone,54165,76,356,296
5,5,Brown,6937,79,191,2
6,6,Bureau,34978,88,5,15
7,7,Calhoun,5089,93,45,1
8,8,Carroll,15387,105,8,77
9,9,Cass,13642,109,19,4
10,10,Champaign,201081,28,38,119
11,11,Christian,34800,56,28,16
12,12,Clark,16335,59,68,40
13,13,Clay,13815,54,7,51
14,14,Clinton,37762,41,47,63
15,15,Coles,53873,12,3,13
16,16,Cook,5194675,28,53,34
17,17,Crawford,19817,65,51,31
18,18,Cumberland,11048,35,55,18
19,19,DeKalb,105160,44,142,182
20,20,De Witt,16561,88,17,14
21,21,Douglas,19980,16,24,3
22,22,DuPage,916924,186,157,14
23,23,Edgar,18576,98,6,57
24,24,Edwards,6721,65,63,36
25,25,Effingham,34242,25,81,1
26,26,Fayette,22140,57,44,16
27,27,Ford,14081,65,2,11
28,28,Franklin,39561,67,32,14
29,29,Fulton,37069,128,4,31
30,30,Gallatin,5589,9,67,133
31,31,Greene,13886,81,36,59
32,32,Grundy,50063,57,161,334
33,33,Hamilton,8457,73,14,19
34,34,Hancock,19104,105,59,51
35,35,Hardin,4320,36,75,100
36,36,Henderson,7331,112,14,107
37,37,Henry,50486,117,3,10
38,38,Iroquois,29718,66,18,52
39,39,Jackson,60218,7,24,10
40,40,Jasper,9698,63,46,41
41,41,Jefferson,38827,13,82,30
42,42,Jersey,22985,0,55,61
43,43,Jo Daviess,22678,72,21,17
44,44,Johnson,12582,179,135,23
45,45,Kane,515269,14,273,275
46,46,Kankakee,113449,65,79,93
47,47,Kendall,114736,59,384,1104
48,48,Knox,52919,85,1,52
49,49,Lake,703462,173,248,92
50,50,La Salle,113924,46,43,22
51,51,Lawrence,16833,103,33,89
52,52,Lee,36031,53,49,1
53,53,Livingston,38950,5,1,18
54,54,Logan,30305,32,13,28
55,55,McDonough,32612,59,66,9
56,56,McHenry,308760,239,419,187
57,57,McLean,169572,84,165,127
58,58,Macon,110768,108,21,34
59,59,Macoupin,47765,35,28,26
60,60,Madison,269282,6,39,40
61,61,Marion,39437,45,3,54
62,62,Marshall,12640,113,26,41
63,63,Mason,14666,165,14,86
64,64,Massac,15429,16,28,18
65,65,Menard,12705,46,118,18
66,66,Mercer,16434,103,19,31
67,67,Monroe,32957,115,232,193
68,68,Montgomery,30104,3,2,18
69,69,Morgan,35547,29,6,29
70,70,Moultrie,14846,42,26,39
71,71,Ogle,53497,8,11,48
72,72,Peoria,186494,88,3,17
73,73,Perry,22350,14,79,32
74,74,Piatt,16729,62,53,22
75,75,Pike,16430,7,11,55
76,76,Pope,4470,7,9,13
77,77,Pulaski,6161,149,23,162
78,78,Putnam,6006,58,62,13
79,79,Randolph,33476,3,2,12
80,80,Richland,16233,59,24,5
81,81,Rock Island,147546,104,4,12
82,82,St. Clair,270056,17,26,55
83,83,Saline,24913,67,7,68
84,84,Sangamon,197465,13,59,45
85,85,Schuyler,7544,104,41,49
86,86,Scott,5355,81,19,33
87,87,Shelby,22363,69,28,23
88,88,Stark,5994,116,31,53
89,89,Stephenson,47711,3,19,26
90,90,Tazewell,135394,63,39,54
91,91,Union,17808,8,38,27
92,92,Vermilion,81625,73,49,27
93,93,Wabash,11947,44,13,77
94,94,Warren,17707,126,23,55
95,95,Washington,14716,33,12,29
96,96,Wayne,16760,45,5,23
97,97,White,14665,75,7,46
98,98,Whiteside,58498,88,8,36
99,99,Will,677560,101,406,349
100,100,Williamson,66357,21,62,83
101,101,Winnebago,295266,8,101,61
102,102,Woodford,38664,2,86,90
