id,State,Area_name,Civilian_labor_force_2017,Employed_2017,Unemployed_2017,Unemployment_rate_2017,Total_poverty_2017,Poverty_rate_2017,Median_income_2017
17000,IL,Illinois,6489612,6170546,319066,4,1568670,12,63044
17001,IL,"Adams County, IL",32386,31112,1274,3,8608,13,49088
17003,IL,"Alexander County, IL",2131,1953,178,8,1889,30,33985
17005,IL,"Bond County, IL",7919,7565,354,4,1993,13,54831
17007,IL,"Boone County, IL",26220,24448,1772,6,4676,8,69413
17009,IL,"Brown County, IL",2859,2777,82,2,685,14,53875
17011,IL,"Bureau County, IL",17395,16534,861,4,3506,10,55632
17013,IL,"Calhoun County, IL",2337,2208,129,5,499,10,55138
17015,IL,"Carroll County, IL",7620,7263,357,4,1647,11,49744
17017,IL,"Cass County, IL",6180,5898,282,4,1635,13,50568
17019,IL,"Champaign County, IL",105320,100698,4622,4,37106,19,51466
17021,IL,"Christian County, IL",14865,14072,793,5,4270,13,52817
17023,IL,"Clark County, IL",7878,7490,388,4,1697,11,55205
17025,IL,"Clay County, IL",6647,6289,358,5,1721,13,45028
17027,IL,"Clinton County, IL",20302,19572,730,3,2910,8,65586
17029,IL,"Coles County, IL",24552,23391,1161,4,9377,19,46012
17031,IL,"Cook County, IL",2638715,2505427,133288,5,746194,14,61401
17033,IL,"Crawford County, IL",8832,8364,468,5,2404,13,49712
17035,IL,"Cumberland County, IL",6125,5879,246,4,1102,10,55622
17037,IL,"DeKalb County, IL",54771,52203,2568,4,13876,14,60856
17039,IL,"De Witt County, IL",7656,7290,366,4,1823,11,56091
17041,IL,"Douglas County, IL",10203,9778,425,4,1907,9,54538
17043,IL,"DuPage County, IL",512749,492603,20146,3,56794,6,89536
17045,IL,"Edgar County, IL",9456,8990,466,4,2344,13,46916
17047,IL,"Edwards County, IL",2849,2716,133,4,697,10,48649
17049,IL,"Effingham County, IL",18889,18165,724,3,3256,9,60061
17051,IL,"Fayette County, IL",9681,9141,540,5,3604,18,45193
17053,IL,"Ford County, IL",6369,6054,315,4,1482,11,55356
17055,IL,"Franklin County, IL",16544,15459,1085,6,7468,19,40682
17057,IL,"Fulton County, IL",15490,14490,1000,6,4890,15,49315
17059,IL,"Gallatin County, IL",2467,2323,144,5,955,18,42533
17061,IL,"Greene County, IL",6019,5709,310,5,1895,14,47188
17063,IL,"Grundy County, IL",25552,24089,1463,5,3543,7,76214
17065,IL,"Hamilton County, IL",4464,4260,204,4,1046,12,49092
17067,IL,"Hancock County, IL",8520,8077,443,5,2079,11,52625
17069,IL,"Hardin County, IL",1353,1247,106,7,850,21,40160
17071,IL,"Henderson County, IL",3649,3460,189,5,753,11,51014
17073,IL,"Henry County, IL",24989,23697,1292,5,5318,11,58675
17075,IL,"Iroquois County, IL",14642,13970,672,4,3538,12,50131
17077,IL,"Jackson County, IL",28067,26791,1276,4,15952,29,38157
17079,IL,"Jasper County, IL",4488,4261,227,5,1128,11,55240
17081,IL,"Jefferson County, IL",17493,16525,968,5,6247,17,50622
17083,IL,"Jersey County, IL",10952,10416,536,4,2164,10,58928
17085,IL,"Jo Daviess County, IL",11059,10560,499,4,1980,9,51866
17087,IL,"Johnson County, IL",4118,3806,312,7,1660,15,49763
17089,IL,"Kane County, IL",269228,256036,13192,4,48756,9,75739
17091,IL,"Kankakee County, IL",55407,52370,3037,5,15750,15,57706
17093,IL,"Kendall County, IL",68229,65288,2941,4,5993,4,97039
17095,IL,"Knox County, IL",22500,21318,1182,5,7485,16,44686
17097,IL,"Lake County, IL",373250,356243,17007,4,52630,7,86242
17099,IL,"LaSalle County, IL",56192,53008,3184,5,15216,14,56854
17101,IL,"Lawrence County, IL",6067,5695,372,6,2341,17,45235
17103,IL,"Lee County, IL",17818,17032,786,4,3589,11,59450
17105,IL,"Livingston County, IL",16655,15901,754,4,4330,12,55003
17107,IL,"Logan County, IL",12897,12299,598,4,3032,12,56838
17109,IL,"McDonough County, IL",13526,12838,688,5,5008,18,44524
17111,IL,"McHenry County, IL",167398,160094,7304,4,18686,6,86450
17113,IL,"McLean County, IL",88828,85099,3729,4,25273,15,68895
17115,IL,"Macon County, IL",49432,46649,2783,5,14566,14,51828
17117,IL,"Macoupin County, IL",22980,21844,1136,4,6152,13,51756
17119,IL,"Madison County, IL",134084,127652,6432,4,37768,14,58077
17121,IL,"Marion County, IL",17684,16746,938,5,5952,16,45126
17123,IL,"Marshall County, IL",5464,5166,298,5,1109,9,55337
17125,IL,"Mason County, IL",6427,6033,394,6,1842,13,51731
17127,IL,"Massac County, IL",5849,5465,384,6,2159,15,47646
17129,IL,"Menard County, IL",6695,6417,278,4,1054,8,65367
17131,IL,"Mercer County, IL",8067,7649,418,5,1636,10,52846
17133,IL,"Monroe County, IL",18473,17844,629,3,1644,4,83767
17135,IL,"Montgomery County, IL",11968,11277,691,5,4075,15,51206
17137,IL,"Morgan County, IL",16502,15773,729,4,4197,13,52357
17139,IL,"Moultrie County, IL",7327,7039,288,3,1288,9,60496
17141,IL,"Ogle County, IL",25409,24094,1315,5,4866,9,60656
17143,IL,"Peoria County, IL",86304,81187,5117,5,27364,15,54195
17145,IL,"Perry County, IL",8403,7894,509,6,2932,15,50553
17147,IL,"Piatt County, IL",8420,8071,349,4,1025,6,67173
17149,IL,"Pike County, IL",7290,6958,332,4,2403,15,43301
17151,IL,"Pope County, IL",1779,1666,113,6,760,18,43119
17153,IL,"Pulaski County, IL",2125,1955,170,8,1260,22,38846
17155,IL,"Putnam County, IL",3005,2855,150,5,455,8,64000
17157,IL,"Randolph County, IL",14183,13549,634,4,4402,15,52749
17159,IL,"Richland County, IL",7549,7184,365,4,2385,15,48489
17161,IL,"Rock Island County, IL",71211,67525,3686,5,18069,12,51805
17163,IL,"St. Clair County, IL",126389,119949,6440,5,41174,16,51937
17165,IL,"Saline County, IL",9773,9135,638,6,4332,18,41394
17167,IL,"Sangamon County, IL",104742,100193,4549,4,29676,15,61519
17169,IL,"Schuyler County, IL",3335,3182,153,4,817,11,52946
17171,IL,"Scott County, IL",2464,2334,130,5,602,12,49745
17173,IL,"Shelby County, IL",10408,9941,467,4,2214,10,51873
17175,IL,"Stark County, IL",2571,2406,165,6,593,11,51446
17177,IL,"Stephenson County, IL",21662,20636,1026,4,7389,16,48237
17179,IL,"Tazewell County, IL",64728,61229,3499,5,11896,9,61086
17181,IL,"Union County, IL",7360,6882,478,6,3183,19,45847
17183,IL,"Vermilion County, IL",34186,31960,2226,6,14553,19,43649
17185,IL,"Wabash County, IL",5632,5347,285,5,1572,13,52535
17187,IL,"Warren County, IL",8659,8293,366,4,1881,11,54023
17189,IL,"Washington County, IL",9638,9349,289,3,1111,8,56118
17191,IL,"Wayne County, IL",6953,6519,434,6,2300,14,46339
17193,IL,"White County, IL",6678,6351,327,4,2072,15,48202
17195,IL,"Whiteside County, IL",28192,26818,1374,4,7110,12,54284
17197,IL,"Will County, IL",360745,342750,17995,5,47639,7,82477
17199,IL,"Williamson County, IL",31816,30155,1661,5,9993,15,49993
17201,IL,"Winnebago County, IL",139335,130272,9063,6,39766,14,53490
17203,IL,"Woodford County, IL",18955,18115,840,4,2179,5,75733
